Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);Absolute acceleration (m/s^2)
1,343768947;-0,196999997;-0,150000006;0,745999992;0,78601844
1,348802408;-0,233999997;-0,057;0,451999992;0,512161099
1,353835375;-0,223000005;0,174999997;0,532999992;0,60369114
1,358868837;-0,272000015;0,219999999;0,566999972;0,666237927
1,363902068;-0,266000003;0,310000002;0,653999984;0,771084938
1,368935347;-0,141000003;0,521000028;1,075999975;1,203784855
1,373968577;-0,092;0,625999987;1,286999941;1,434123018
1,379001808;-0,079999998;0,721000016;1,628000021;1,782308921
1,38403526;0,046;0,763000011;2,203000069;2,331843545
1,38906849;0,114;0,663999975;2,440000057;2,53130248
1,39410176;0,108999997;0,605000019;2,690000057;2,759348896
1,399134991;0,250999987;0,395000011;3,095000029;3,130183889
1,40416826;0,208000004;0,248999998;3,253000021;3,269139663
1,40920149;0,25;0,078000002;3,34800005;3,358226963
1,414234726;0,243000001;-0,206;3,240999937;3,256618736
1,419268188;0,25;-0,81400001;2,519000053;2,659033149
1,424301438;-0,082999997;-0,851000011;2,476999998;2,620423441
1,429334745;-0,241999999;-0,588;2,579999924;2,657199203
1,434367987;-0,423000008;-0,556999981;2,500999928;2,596955645
1,439401449;-0,546000004;-0,593999982;2,035000086;2,18910423
1,444434655;-0,654999971;-0,657999992;1,633000016;1,878477577
1,449467886;-0,75;-0,713999987;1,350999951;1,702203528
1,454501098;-0,751999974;-0,825999975;1,062000036;1,541305939
1,459534329;-0,827000022;-0,861999989;0,745999992;1,408363946
1,464567669;-0,867999971;-0,89200002;0,485000014;1,335781793
1,469601131;-0,776000023;-0,815999985;0,312000006;1,168493053
1,474634367;-0,902999997;-0,728999972;0,149000004;1,170064509
1,479667598;-0,92900002;-0,670000017;0,007;1,145421346
1,484700804;-0,97299999;-0,560000002;-0,057999998;1,124140998
1,489734112;-0,941999972;-0,43900001;-0,108000003;1,044867914
1,494767328;-1,001999974;-0,340000004;-0,182999998;1,073821657
1,499800789;-0,99000001;-0,240999997;-0,143999994;1,029036936
1,504833789;-0,940999985;-0,104999997;-0,324000001;1,000740711
1,509867242;-0,93900001;-0,041000001;-0,465999991;1,049074836
1,514900473;-0,911000013;0,131999999;-0,537;1,065698843
1,519933765;-0,822000027;0,203999996;-0,573000014;1,022560051
1,524966996;-0,73299998;0,44600001;-0,65200001;1,077640475
1,530000454;-0,680000007;0,465999991;-0,82099998;1,163441863
1,535033685;-0,672999978;0,58099997;-0,879999995;1,250955606
1,540066977;-0,549000025;0,685000002;-0,885999978;1,247245762
1,545100131;-0,444999993;0,661000013;-0,93599999;1,22924448
1,550133348;-0,456;0,600000024;-0,903999984;1,176924807
1,555166656;-0,404000014;0,586000025;-0,875999987;1,128710777
1,560199886;-0,342999995;0,486000001;-0,783999979;0,984124467
1,565233117;-0,379999995;0,333999991;-0,703000009;0,866120663
